tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2021-01-01,5188.673350530691,80038891441
2021-01-02,8012.065284594173,80948469861
2021-01-03,13011.093414706525,78955134702
2021-01-04,20121.68931090963,79464427883
2021-01-05,10958.666235014487,79844614999
2021-01-06,9762.946781749535,79409862801
2021-01-07,10633.979171741812,78649000525
2021-01-08,11193.151282885923,80669146918
2021-01-09,7201.345914583635,79098414154
2021-01-10,6984.828711787126,80047806722
2021-01-11,19748.38003856923,79933632401
2021-01-12,6776.868851923655,80332321479
2021-01-13,5372.778086980263,80376599422
2021-01-14,6499.371431419446,78306132000
2021-01-15,7421.966136150418,80309431740
2021-01-16,6302.569290206337,79464637657
2021-01-17,4872.880895113083,79105097999
2021-01-18,5797.3113266172595,78882210030
2021-01-19,7959.149669113507,79303557688
2021-01-20,6658.691192088418,80233064915
2021-01-21,9736.678614937255,79430948162
2021-01-22,10383.079231262533,79078691115
2021-01-23,6336.811105428964,79897258632
2021-01-24,6396.685655604565,79292330473
2021-01-25,8615.004048351813,79682201352
2021-01-26,6683.692815497343,79443454330
2021-01-27,7733.09827602541,78852380274
2021-01-28,7335.124632180265,79431279022
2021-01-29,10902.22199738582,78954526916
2021-01-30,8642.494763498864,78022454246
2021-01-31,10261.033113183079,81106444836
2021-02-01,12133.382592569538,79271092808
2021-02-02,13774.19389473796,79406719924
2021-02-03,13710.006459658183,79259433587
2021-02-04,18797.579496247676,79265045459
2021-02-05,19744.594789784733,78968310019
2021-02-06,14069.8063097195,79460024500
2021-02-07,12582.48393613818,79817183641
2021-02-08,16517.111731418605,79021550203
2021-02-09,18354.158265515038,79191181760
2021-02-10,16946.130504436092,79658368148
2021-02-11,13602.170497607825,79286091308
2021-02-12,14025.280105167149,79689230772
2021-02-13,14523.666757958687,78479036060
2021-02-14,11680.626065902079,79959458077
2021-02-15,14269.45314203581,79238461219
2021-02-16,13460.13544168662,79189007248
2021-02-17,13849.546528768562,79989171756
2021-02-18,14406.597028674036,79043489986
2021-02-19,14951.121918953733,80367241529
2021-02-20,15925.496384513586,79291675220
2021-02-21,11338.021333933066,79220738588
2021-02-22,22368.806840788297,79403221327
2021-02-23,31702.760973817214,79501394236
2021-02-24,16301.979400506963,79162407167
2021-02-25,13131.672119310953,79592224698
2021-02-26,12724.116392043223,80052300871
2021-02-27,9481.603056454875,79557364672
2021-02-28,9587.082321329697,79052824388
2021-03-01,9272.588476909064,79071397736
2021-03-02,9933.724507416697,80265242586
2021-03-03,10186.824284114868,78431533869
2021-03-04,8932.71851555003,79353276424
2021-03-05,11007.32391882323,80019849260
2021-03-06,7843.716824012773,80249422649
2021-03-07,10461.902303475837,79538139964
2021-03-08,10860.456038380404,79818737051
2021-03-09,11010.83374988989,78902832005
2021-03-10,10727.397898463854,79671036744
2021-03-11,10620.44411285339,79001506959
2021-03-12,13597.562723646159,79556087380
2021-03-13,12999.054088617062,80234090662
2021-03-14,11927.853651873704,80046162944
2021-03-15,15017.507737249036,79214395297
2021-03-16,14933.713897473,80040726727
2021-03-17,15502.620841948412,79744246673
2021-03-18,14353.83671929482,79739395817
2021-03-19,12608.011055994413,79958570114
2021-03-20,11257.635485846447,80161507436
2021-03-21,10816.938862182567,79200529917
2021-03-22,14989.82912692616,79785214325
2021-03-23,13061.67360645366,79905668649
2021-03-24,14029.336265915023,79548914811
2021-03-25,14548.1514824935,80237958310
2021-03-26,11651.07730373563,80287235531
2021-03-27,9393.14190604017,79754599779
2021-03-28,9804.159958749808,79770842362
2021-03-29,11888.535564087744,80013370468
2021-03-30,13279.094243464056,79911244661
2021-03-31,16824.292952111642,79387330350
2021-04-01,15538.193336126868,80091331500
2021-04-02,14621.882898267439,79316513873
2021-04-03,11764.4081923427,80093593363
2021-04-04,8861.749839301117,80523140559
2021-04-05,11723.791426506386,80159854618
2021-04-06,12228.082522904675,79723268992
2021-04-07,12230.859552936901,80547203097
2021-04-08,9614.434465383883,79553793961
2021-04-09,9338.468757905897,79631351659
2021-04-10,7988.9931434861755,81132935750
2021-04-11,6690.483670607084,80836454351
2021-04-12,8635.031458844926,80415879319
2021-04-13,9404.908628694944,79855612870
2021-04-14,10853.269936190638,79626845057
2021-04-15,7884.271801477957,80284736937
2021-04-16,14336.22792897122,79531704209
2021-04-17,11693.61771128941,79871137863
2021-04-18,13988.4872403498,80479057832
2021-04-19,15401.60923974193,79088526357
2021-04-20,21627.73084185509,82297440775
2021-04-21,14889.13640663058,89806676193
2021-04-22,13169.12280703909,94584944807
2021-04-23,11486.335370928571,95141284442
2021-04-24,6351.769301020396,95917365091
2021-04-25,5169.258984674411,96236026619
2021-04-26,5693.145153393007,95330862069
2021-04-27,6042.241807884768,94915300821
2021-04-28,7236.849992156909,95123656796
2021-04-29,6652.471679711595,95012776788
2021-04-30,5210.40169196456,94803456663
2021-05-01,4908.598313274356,95290204712
2021-05-02,3862.5530566729867,94556510855
2021-05-03,6164.078650273513,95790355336
2021-05-04,6403.31372254406,95875907776
2021-05-05,5578.410842098119,96199371931
2021-05-06,6142.596407982591,95663643381
2021-05-07,6347.754183962677,95605522436
2021-05-08,13122.030255771593,96008381970
2021-05-09,12144.018697053907,95489593727
2021-05-10,22503.721573454273,96447624016
2021-05-11,28202.45349667649,95046499407
2021-05-12,26940.38004335162,95077202653
2021-05-13,16479.16231866894,96657984978
2021-05-14,12221.288581387846,95972463299
2021-05-15,8920.270006781371,95725781213
2021-05-16,7728.844029957355,95494911627
2021-05-17,8943.08814201535,95097126243
2021-05-18,8250.40286879966,95726718232
2021-05-19,30798.939590454665,94910292869
2021-05-20,12343.667540285329,95438214314
2021-05-21,10973.200259656012,94923757148
2021-05-22,5302.534504076072,95418508329
2021-05-23,13635.525533382879,95430530877
2021-05-24,6355.702776187955,95872434996
2021-05-25,4776.783673628968,94866224519
2021-05-26,4592.754085375724,95304448386
2021-05-27,3632.657750447854,94639468069
2021-05-28,3766.0531114334563,95473480511
2021-05-29,3095.523313417243,95417920865
2021-05-30,2644.9652460859465,94809939434
2021-05-31,3078.7710524112135,94972163339
2021-06-01,2835.006547069449,95819266290
2021-06-02,2966.3233865823768,96056540196
2021-06-03,3057.505726527084,94595742989
2021-06-04,2606.23124205692,96061501345
2021-06-05,1837.055537985726,94833549129
2021-06-06,1560.4327023138148,93657111945
2021-06-07,2102.204785349315,94242071045
2021-06-08,2852.442399639498,95721239854
2021-06-09,2373.7183708918587,95297492694
2021-06-10,2000.593952156117,95141722501
2021-06-11,2281.2766470533043,95500390909
2021-06-12,1912.1818373796602,93876634499
2021-06-13,1466.3006311427946,93029865383
2021-06-14,1929.3485776093555,94099179509
2021-06-15,2035.5636310508266,95755505374
2021-06-16,1937.6931300872288,93867427931
2021-06-17,2110.1583958228293,95258174740
2021-06-18,2085.182919653932,94174859945
2021-06-19,1486.7727270442194,93040728925
2021-06-20,1710.9110836881314,92801535271
2021-06-21,4129.552271085703,93038301697
2021-06-22,6598.895285370183,95095274189
2021-06-23,2152.9227137490275,94549621038
2021-06-24,1909.3409536465927,94331828419
2021-06-25,2461.550435254822,93383155630
2021-06-26,1489.3989649860353,93747015114
2021-06-27,2486.766300919941,92776556296
2021-06-28,2250.970114810456,94968347588
2021-06-29,2244.0940505020026,94374652810
2021-06-30,3057.199815285141,95031806062
2021-07-01,2147.393483605443,93479021158
2021-07-02,1683.137203443141,94249085578
2021-07-03,1521.2177535074027,93484743637
2021-07-04,1278.974287293314,93827351324
2021-07-05,1755.9731725806785,93195566119
2021-07-06,4818.444372525117,94483893834
2021-07-07,3678.9603732824953,94335807377
2021-07-08,3458.5477314636537,95076027836
2021-07-09,2630.170203436342,94326869171
2021-07-10,1626.453572951739,94446379615
2021-07-11,1253.0376040638748,93265830570
2021-07-12,2679.636070127045,93871826751
2021-07-13,2928.880711028716,93137262876
2021-07-14,4347.919880342452,94121053020
2021-07-15,4182.95873286196,94819285684
2021-07-16,3927.1528377584536,93580151869
2021-07-17,2665.875887706118,93919147401
2021-07-18,2562.804380311493,94003200398
2021-07-19,2751.103105140893,94767271033
2021-07-20,3131.489239565984,93352724420
2021-07-21,2487.717693277805,94592181807
2021-07-22,3156.562392568701,94808278622
2021-07-23,3701.5750216522592,93845459858
2021-07-24,2216.465955518287,95372931298
2021-07-25,1990.4156819645304,94395717982
2021-07-26,3878.504004582053,93773449795
2021-07-27,4849.166892406106,92913043177
2021-07-28,5164.437201047942,93179229936
2021-07-29,3009.817989489564,93872218975
2021-07-30,3534.632930086946,92471669912
2021-07-31,4850.805466960913,93072315366
2021-08-01,3692.386835368203,93342589782
2021-08-02,4105.103747713455,94606443645
2021-08-03,4922.6556466436095,93545726322
2021-08-04,4188.447673334217,93440178362
2021-08-05,6253.961087701382,94449876233
2021-08-06,5312.087766086566,99833807530
2021-08-07,5386.023163080455,101523049266
2021-08-08,5474.532745798988,100515275100
2021-08-09,6446.174106332784,100658630450
2021-08-10,7645.530103639578,100743448657
2021-08-11,6777.540297005267,99032450052
2021-08-12,6522.56050203479,100618285838
2021-08-13,6870.413937116409,100137267017
2021-08-14,6072.735958338836,100522547923
2021-08-15,7635.231154051615,99379334111
2021-08-16,6080.440484005036,100445846889
2021-08-17,5751.675111099308,100680820245
2021-08-18,5279.306655494802,98851968299
2021-08-19,6206.941873061864,101304757807
2021-08-20,4717.247886745678,99940118989
2021-08-21,4017.839835676591,99756143054
2021-08-22,3998.6292087407664,101082305531
2021-08-23,6649.9187117287065,99288240247
2021-08-24,8796.99924568384,100637826151
2021-08-25,10125.300973976511,99457429577
2021-08-26,9971.381941488951,100446975073
2021-08-27,13519.697354291573,99511881806
2021-08-28,10023.657949029406,99488799028
2021-08-29,11023.756001143109,100288422076
2021-08-30,12370.737327929139,99930229488
2021-08-31,13552.444616545186,99588309787
2021-09-01,15120.502550905938,99646996226
2021-09-02,11645.607308309996,100979536811
2021-09-03,16008.193498750165,99868846816
2021-09-04,12468.815312723145,99497548506
2021-09-05,11617.029369845146,101113618184
2021-09-06,12226.618501032812,99764274456
2021-09-07,21131.621459606544,99040740463
2021-09-08,16548.16917682839,100225835088
2021-09-09,16843.988605222796,99862901657
2021-09-10,10913.772164775846,99669661930
2021-09-11,6799.457325659951,98832823573
2021-09-12,6615.238340678887,101084407772
2021-09-13,8811.061704932403,99078484615
2021-09-14,8678.054136625775,99792266403
2021-09-15,7350.476949952555,99705020379
2021-09-16,9381.54003402312,100171656930
2021-09-17,7912.291493370049,99898437187
2021-09-18,5675.515856122796,99588089079
2021-09-19,7200.917714111428,100682356600
2021-09-20,9331.617399577917,99295159913
2021-09-21,10725.893521006168,100098839443
2021-09-22,7241.07783016718,99368407926
2021-09-23,9503.848309834215,98795997873
2021-09-24,7640.78402284888,99488910998
2021-09-25,5019.537962541437,101428978144
2021-09-26,7482.458487566887,98729453261
2021-09-27,17107.880041483837,99668379770
2021-09-28,9418.92672735467,98121131129
2021-09-29,8538.321083154116,99024382289
2021-09-30,11775.658067837536,97958729328
2021-10-01,9090.188010824168,99940537596
2021-10-02,6712.862159462154,98607821850
2021-10-03,6323.939770346508,98254946022
2021-10-04,10441.14751038481,98521267138
2021-10-05,13747.974108161006,98749386920
2021-10-06,15037.74291145293,99234890332
2021-10-07,14745.258136358225,97564435387
2021-10-08,13093.141764750328,99080580257
2021-10-09,8056.78121386124,97972965669
2021-10-10,8651.623784723326,98475597666
2021-10-11,11220.137863177919,98682802052
2021-10-12,9273.66167252385,98036296850
2021-10-13,10193.95991459244,97733405137
2021-10-14,13596.408075123758,97754677280
2021-10-15,15638.552440275304,97560326707
2021-10-16,8752.975777917422,99385187004
2021-10-17,7725.038216597144,98619555604
2021-10-18,13205.980254923796,97462750354
2021-10-19,7739.35243508143,99404881141
2021-10-20,8222.21442229487,98176164702
2021-10-21,10046.093379726048,100112401015
2021-10-22,9048.135670863665,99057211828
2021-10-23,6795.4076587488025,98120356350
2021-10-24,7643.912497008421,98235649057
2021-10-25,10212.737434841865,99167904953
2021-10-26,12813.841597837238,99081985112
2021-10-27,17164.85475926439,97983958255
