tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2024-01-01,1597.0401296505477,107407637525
2024-01-02,2403.0232063812514,107478678978
2024-01-03,4299.868493233702,107766428329
2024-01-04,2838.808630398786,107488204769
2024-01-05,2429.648188689701,107245315367
2024-01-06,2130.3803034139796,106831408703
2024-01-07,3441.9324610536714,107394196834
2024-01-08,2952.7631506323114,107128253991
2024-01-09,2745.6393354581396,107735811426
2024-01-10,4788.384770187596,108039914246
2024-01-11,3843.933388465564,107494111854
2024-01-12,3053.3149108206017,108005495587
2024-01-13,2174.2678445569527,108005730581
2024-01-14,3819.6971641366295,108134241314
2024-01-15,2788.8059986599465,108163633646
2024-01-16,4092.4937090383155,108180953706
2024-01-17,4445.0345250979835,107968963473
2024-01-18,4142.597482784963,107969323481
2024-01-19,3657.1225314930625,108078043228
2024-01-20,2096.777619170084,108259517050
2024-01-21,1735.8614061440599,106895847127
2024-01-22,2318.9485626622027,107066175822
2024-01-23,2028.3736272408923,107559721243
2024-01-24,1673.7719798127237,107890753868
2024-01-25,3053.6394583904353,107897157665
2024-01-26,2510.385568793299,107806677082
2024-01-27,1654.016216695325,107624862310
2024-01-28,1546.8692564827859,107888489936
2024-01-29,1860.3594391042245,107991132926
2024-01-30,3577.1755074889666,107940522562
2024-01-31,3204.7053341417163,107737421516
2024-02-01,3455.270189629498,107815064064
2024-02-02,2749.6492731686812,107869357288
2024-02-03,2481.7823021553754,107882343219
2024-02-04,1994.6327350702563,107809884439
2024-02-05,2386.6970869919655,107912071842
2024-02-06,4372.222457979063,107853818287
2024-02-07,4879.239911639376,108032034472
2024-02-08,6800.217404352765,107796228622
2024-02-09,8042.5094303292035,107744163399
2024-02-10,4402.186189310639,107920858560
2024-02-11,3473.550134094182,107973234501
2024-02-12,5018.434991385355,108336399815
2024-02-13,3911.2740072590864,108034822123
2024-02-14,3289.146866146904,107963565178
2024-02-15,4361.180119897548,107909845451
2024-02-16,3350.24691809101,107876645228
2024-02-17,2444.3353614206762,107808972332
2024-02-18,2771.595710390061,107612687137
2024-02-19,4090.6445727954074,107596176309
2024-02-20,4525.476229500163,108103664047
2024-02-21,4708.885278463892,107696619297
2024-02-22,5619.091333405724,108040640154
2024-02-23,4894.349477666146,108054519966
2024-02-24,3373.5729720014756,108601405592
2024-02-25,3423.448236685244,108425387700
2024-02-26,4727.640700124717,108199123255
2024-02-27,5698.409431768486,108378433181
2024-02-28,7067.646804641732,108230695232
2024-02-29,7942.462902696947,108219695232
2024-03-01,6303.945782557743,108685731684
2024-03-02,5681.369097782268,108495209709
2024-03-03,5966.025757374637,108718074450
2024-03-04,9286.337371249354,108653858699
2024-03-05,10809.620759868107,108593584113
2024-03-06,9061.81973508151,108438373463
2024-03-07,8086.875130820557,108463146699
2024-03-08,7100.182994575255,107525961766
2024-03-09,6390.429171773652,108667500359
2024-03-10,6886.560943687015,108424806273
2024-03-11,7846.757729250623,108427298106
2024-03-12,7038.092319006319,108407847684
2024-03-13,6870.28204125151,108066342379
2024-03-14,6165.27469634574,107742572568
2024-03-15,5065.038760921096,108438329597
2024-03-16,4091.6478492702863,108037492868
2024-03-17,3517.7433651721003,108373223419
2024-03-18,4275.772963263608,108242010340
2024-03-19,4825.479549489966,108244660170
2024-03-20,4337.806593947025,108406402095
2024-03-21,3694.7834775114884,108270481036
2024-03-22,3089.131909723293,108429169150
2024-03-23,2330.1414958770133,108357032123
2024-03-24,2300.013181575895,108118230576
2024-03-25,3191.202560329533,107783707942
2024-03-26,3755.9602353915197,107709024340
2024-03-27,4147.3153892865475,105080756437
2024-03-28,4073.029225009832,106680761729
2024-03-29,3202.641786006332,108120985893
2024-03-30,2712.1389274354924,107956343809
2024-03-31,2589.755154380913,107946845481
2024-04-01,3104.5942426610595,108094431017
2024-04-02,4544.308097439702,108033010514
2024-04-03,3924.541688978056,108398838309
2024-04-04,3478.790908503009,108314540008
2024-04-05,2594.613680840236,108294951995
2024-04-06,1741.3523220954944,108507155118
2024-04-07,1991.1629550417247,108242508073
2024-04-08,2941.6886146418783,108252968957
2024-04-09,3197.4064055278486,108489901303
2024-04-10,2421.9435059318444,108484462870
2024-04-11,2512.662619724647,108333298173
2024-04-12,3537.815824427798,108357863657
2024-04-13,5234.8861935707055,108148982952
2024-04-14,1664.6424187733,108466099843
2024-04-15,2081.2514769018194,108351480031
2024-04-16,1541.8960768854774,108475332829
2024-04-17,2450.236159503574,108925830811
2024-04-18,1644.3757696989394,108652996135
2024-04-19,1573.8031626253878,108468116449
2024-04-20,1029.711988002613,108737339115
2024-04-21,1067.9279010545454,108891835256
2024-04-22,1502.1862009059405,108510641650
2024-04-23,1694.2118285343993,108508873248
2024-04-24,2320.298260822697,108209640343
2024-04-25,1659.275245725177,108591592104
2024-04-26,1059.4068212338304,108535832406
2024-04-27,871.0988916773181,108825102908
2024-04-28,1023.2483287843943,108695493895
2024-04-29,1227.4212995226087,108590928265
2024-04-30,1857.2353682505084,108658267847
2024-05-01,1324.465723665063,108871820944
2024-05-02,1132.9626319585832,108498498277
2024-05-03,1065.2482180296886,108529335471
2024-05-04,851.2071149978738,108768761774
2024-05-05,851.0038572898618,108676884345
2024-05-06,915.662472902593,108502556024
2024-05-07,923.2563910838471,108587300643
2024-05-08,789.3388574446528,108565590913
2024-05-09,741.4777227173765,108742167462
2024-05-10,913.4729827812452,108744747889
2024-05-11,692.6160214669385,108775149265
2024-05-12,617.3530990905082,108847108907
2024-05-13,1251.5577179381141,108617179004
2024-05-14,1080.3045222102012,108117253154
2024-05-15,1162.7690761994627,108795885187
2024-05-16,843.6492414189231,108598795011
2024-05-17,906.7978614232906,108589015406
2024-05-18,589.0035952551938,108757760641
2024-05-19,600.3415487943963,109044511249
2024-05-20,2053.2469375678556,108623470007
2024-05-21,1949.6592840715089,108374630870
