tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2020-01-01,300.1582975075871,37252588523
2020-01-02,289.905747615877,37401007834
2020-01-03,341.8102440385088,42156338080
2020-01-04,275.7886777336238,38519976135
2020-01-05,267.5858274690014,38136631874
2020-01-06,365.1304350908232,43476599616
2020-01-07,351.41656935302626,44717148451
2020-01-08,423.9045779937322,46760482174
2020-01-09,345.75634056654553,41800111747
2020-01-10,411.4383516910242,45333493352
2020-01-11,313.0371400500054,40461216396
2020-01-12,288.6331679845364,38262810189
2020-01-13,343.61732517291665,44096722963
2020-01-14,505.1075902740868,47788554210
2020-01-15,406.7981214808959,50927429508
2020-01-16,342.67892854345524,47069124564
2020-01-17,369.72217350912524,47935640257
2020-01-18,344.9513796994271,43955415421
2020-01-19,324.546950686488,43520192510
2020-01-20,296.5852363608458,42802276265
2020-01-21,274.26521179966505,40989893283
2020-01-22,252.92655799933436,39494089439
2020-01-23,255.82162756140423,41268814436
2020-01-24,251.47624780050774,46916918197
2020-01-25,190.13163076008777,40895005001
2020-01-26,193.4301876335991,41774320296
2020-01-27,234.48860666660934,41696643604
2020-01-28,260.53923679425884,46548828415
2020-01-29,269.4126814000724,47553858615
2020-01-30,309.17377780323034,48070698029
2020-01-31,305.3228302334638,49797533211
2020-02-01,274.2015643971009,43479896535
2020-02-02,278.10282424571153,40890616521
2020-02-03,322.00641686735435,46772607826
2020-02-04,355.7287382313626,52689826166
2020-02-05,438.2495617164314,53526356990
2020-02-06,485.0008808044223,54895298505
2020-02-07,487.82030371235885,55784045722
2020-02-08,395.3744500263667,50778745873
2020-02-09,368.3872633212661,46556740964
2020-02-10,391.8431036335037,47848689826
2020-02-11,425.57489238941787,48862952698
2020-02-12,591.9363729239362,56439774554
2020-02-13,542.172018765181,54341690171
2020-02-14,523.026622563705,53566278106
2020-02-15,498.2273296487428,48348734941
2020-02-16,593.2910855418722,50035301631
2020-02-17,480.51108294442963,51077187350
2020-02-18,449.14433093146056,51221779974
2020-02-19,489.2541011982458,52381553165
2020-02-20,515.0929149631825,51277606849
2020-02-21,342.59264199310235,48417575142
2020-02-22,306.1660212408119,43491346884
2020-02-23,361.7214899200236,41792163742
2020-02-24,409.2793078517399,48876926215
2020-02-25,475.9841574040868,51884271215
2020-02-26,847.851282585892,53850347749
2020-02-27,546.8213485683057,53163475330
2020-02-28,465.4875441605062,51842923985
2020-02-29,326.30704636136136,45011350618
2020-03-01,344.9356253508237,45516773430
2020-03-02,354.4882394220414,47587843775
2020-03-03,373.6374125246992,48931741376
2020-03-04,377.3323099374803,46376686562
2020-03-05,434.5192403326265,48903276946
2020-03-06,401.60168312882706,49932720284
2020-03-07,369.33793215325977,44754999036
2020-03-08,681.2887251967326,50372880650
2020-03-09,747.9220604550449,57016472406
2020-03-10,470.560112829516,53784383731
2020-03-11,587.1771343746971,53755854268
2020-03-12,5112.9628774243165,60344975807
2020-03-13,4904.498969693406,59286366848
2020-03-14,585.9428708270999,54346890493
2020-03-15,523.336291593436,54349015591
2020-03-16,1458.3980598116962,57541645870
2020-03-17,759.5608265672477,56352660359
2020-03-18,613.7549304668378,54469589757
2020-03-19,888.1641440116266,56536235506
2020-03-20,723.8962251906228,56211151962
2020-03-21,517.4005251705577,54196430512
2020-03-22,500.3448473718021,51498487034
2020-03-23,590.3910789455631,52081325185
2020-03-24,561.4030519315661,51784845088
2020-03-25,548.0428657152861,52189247501
2020-03-26,526.2072639589941,52819675574
2020-03-27,491.5085932209646,50533798925
2020-03-28,402.6827218902057,50443808690
2020-03-29,351.9720781543077,46154243067
2020-03-30,453.421142859099,51856415380
2020-03-31,500.5769090631843,53251463510
2020-04-01,457.72873498253557,53724729266
2020-04-02,521.5962741810836,54438639831
2020-04-03,486.43078489588675,54695022078
2020-04-04,363.7336506727554,52289063471
2020-04-05,352.4187935539374,51544214831
2020-04-06,641.6093075793198,56442808331
2020-04-07,581.9567178292546,57689755869
2020-04-08,511.23752119767073,56608956597
2020-04-09,490.25929395429887,55200871445
2020-04-10,520.4045127762032,55904766737
