tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2023-05-07,13465.999864554848,107252572775
2023-05-08,13212.109721368211,107204455706
2023-05-09,11172.222861320683,107266164871
2023-05-10,11575.029999304475,107187594512
2023-05-11,12194.225275540428,106161330919
2023-05-12,8240.348862570627,104370265978
2023-05-13,5314.84002690673,107025026375
2023-05-14,5109.269103510562,106679554770
2023-05-15,7380.823735108519,106932692984
2023-05-16,6959.14387434979,106956196846
2023-05-17,6463.277175613434,106831578600
2023-05-18,6567.363385884439,107300431213
2023-05-19,5791.977608687087,106913303098
2023-05-20,4103.3802495031605,107536762351
2023-05-21,4337.977171286437,107273204402
2023-05-22,5846.704909145365,107282391014
2023-05-23,6627.4404924484825,106998325104
2023-05-24,5523.500814384405,107274099805
2023-05-25,4887.230883344162,107274449146
2023-05-26,4147.022467749646,107410414294
2023-05-27,3344.024738013471,107791884429
2023-05-28,3854.0419763526506,107757309494
2023-05-29,4832.601471329503,107276073506
2023-05-30,5696.106111138821,107146267870
2023-05-31,4927.1950294336175,107125029717
2023-06-01,5012.313855453316,107157192361
2023-06-02,4088.703270115477,107030947075
2023-06-03,3102.3291766932934,107401282557
2023-06-04,2800.898051494239,107373427304
2023-06-05,4455.981464943986,106761026406
2023-06-06,3479.7385710678345,107116134888
2023-06-07,3066.9587428170025,107236675543
2023-06-08,3136.365635946191,107159303428
2023-06-09,2826.9083982745283,107509103164
2023-06-10,3029.9807122256484,107523718145
2023-06-11,2200.5568047750835,107844501180
2023-06-12,2329.5502349760486,107596394105
2023-06-13,2225.928389103674,107823692688
2023-06-14,2841.1025877856996,107340713262
2023-06-15,2548.74606065651,107253838737
2023-06-16,2733.5179144164817,107574462278
2023-06-17,2423.027530301417,108193451420
2023-06-18,2038.9689791544301,108261848267
2023-06-19,2473.835076811393,107942591038
2023-06-20,2504.3896076755777,107761196712
2023-06-21,2801.7952145724375,107844861509
2023-06-22,2346.2570305930008,107523681991
2023-06-23,2563.3678903622786,107627305375
2023-06-24,1926.6886355360411,107981328741
2023-06-25,1729.3576741682018,107964669320
2023-06-26,1928.7801734120246,107668409334
2023-06-27,2674.968951801326,107312132386
2023-06-28,2655.6516386019593,107925888053
2023-06-29,4241.032508798458,107600384522
2023-06-30,3804.6540309830084,107453390131
2023-07-01,2349.489560746889,107535924039
2023-07-02,2030.8305499290216,108018071893
2023-07-03,2797.930155765502,107484628799
2023-07-04,3570.6140668880666,108018204870
2023-07-05,5822.70040655167,109178663083
2023-07-06,4923.066427443203,107973276578
2023-07-07,4100.765800859208,107353620951
2023-07-08,2585.6230545161134,107384662757
2023-07-09,2449.509973781049,107495686668
2023-07-10,2917.992543743346,107331893503
