tx_date,total_tx_gas_cost_ETH,total_tx_gas_used
2022-01-01,8173.6787521968245,100551171640
2022-01-02,10295.014651545092,100382404399
2022-01-03,10537.854257812583,99902168488
2022-01-04,13243.289966541864,100329879686
2022-01-05,14676.050525821774,99810024407
2022-01-06,13357.220186271505,98715972119
2022-01-07,14991.463538564232,99146545762
2022-01-08,11879.025562376824,100857814197
2022-01-09,15264.773168399512,100476979381
2022-01-10,20877.38611236887,99281434205
2022-01-11,18392.758646721948,100891618639
2022-01-12,19495.385463331888,99719511847
2022-01-13,16461.301924999087,99513142623
2022-01-14,18664.632509563213,99422947837
2022-01-15,13418.881909049755,100206226555
2022-01-16,13079.73237037102,100594113972
2022-01-17,14432.45293091254,99815462331
2022-01-18,12207.46717750871,99858454979
2022-01-19,12636.50045184399,100052859737
2022-01-20,14882.1639481044,100294943392
2022-01-21,18182.715945034044,98762028421
2022-01-22,16293.98114090179,101120789675
2022-01-23,12211.089908644106,99789268485
2022-01-24,14013.31417953656,99595606525
2022-01-25,13903.459038718449,99759441501
2022-01-26,13917.2188148671,99308664042
2022-01-27,15283.154794182095,100202326378
2022-01-28,13758.048801239864,99861682821
2022-01-29,11558.534002557632,99767539055
2022-01-30,12824.109342673042,101015302553
2022-01-31,11886.962950351837,99935919102
2022-02-01,15307.636712375914,100558993129
2022-02-02,14982.708663263198,99562179696
2022-02-03,12051.656487165164,99223355169
2022-02-04,10738.634640736998,101259761147
2022-02-05,13628.258444837376,98610252392
2022-02-06,7528.103780635534,101060738866
2022-02-07,11457.293733796794,99822018827
2022-02-08,8957.799182027731,99269806634
2022-02-09,9469.092611568945,100061769505
2022-02-10,10972.8875027305,99386734077
2022-02-11,7594.663505719869,100665610566
2022-02-12,6661.70865713721,100014118266
2022-02-13,5766.386411314174,100037388671
2022-02-14,6323.1296002666795,99722263943
2022-02-15,7729.414507423915,100831175316
2022-02-16,8237.98090662153,98962084941
2022-02-17,7748.348248473702,100196760599
2022-02-18,9595.184303248196,99200040530
2022-02-19,7074.307041057156,99086540782
2022-02-20,7500.098524674684,100753877509
2022-02-21,9088.069083611823,99458416983
2022-02-22,8819.960158418613,99922748791
2022-02-23,9935.23155224859,100213758975
2022-02-24,8945.247049478103,100041030663
