contract,basic_block,original_gas_cost,syrup_tool_gas_cost,our_tool_gas_cost,syrup_tool_execution_time,our_tool_execution_time
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1518,6,6,6,0.4955637454986572,1.6031394004821777
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1867.2,12,12,12,0.4820516109466553,5.1839845180511475
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1624.5,3,3,3,0.552318811416626,0.6111416816711424
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2181.4,24,24,24,0.5611889362335205,18.42950201034546
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1575.4,742,742,742,0.4798049926757812,11.472976446151732
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2046.0,6,6,6,0.4640326499938965,1.471674919128418
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1825.2,739,739,739,0.535956859588623,7.956860780715942
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2128.2,48,48,48,0.4912128448486328,14.36219072341919
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2375.6,24,24,24,0.515674352645874,24.80803108215332
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2483.1,12,12,12,0.5106332302093506,5.746134519577026
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1284.2,48,48,48,0.4910457134246826,16.14676332473755
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2087.1,6,6,6,0.4958348274230957,1.7183067798614502
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1409.2,50,50,50,0.5397326946258545,19.119825839996338
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1337.7,748,742,742,0.4931497573852539,19.703728199005127
